split,image_path,label_path,line_no,class_id,class_name,x,y,w,h,bbox_w_px,bbox_h_px,bbox_area_ratio,bbox_area_px,aspect_ratio,issues
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1006.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1006.txt,1,1,vest,0.472758,0.451484,0.200609,0.256781,128.38976,164.33983999999998,0.051512579629,21099.5526160384,0.7812454971356916,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1006.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1006.txt,2,2,person,0.480523,0.536797,0.415797,0.831375,266.11008000000004,532.0799999999999,0.345683230875,141591.85136640002,0.5001317095173659,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1006.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1006.txt,3,0,helmet,0.455703,0.240844,0.154469,0.092281,98.86016,59.05984,0.014254553789,5838.665231974401,1.6738982022301447,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1008.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1008.txt,1,0,helmet,0.497828,0.174641,0.178531,0.132406,114.25984,84.73984,0.023638575585999997,9682.360560025598,1.3483603462078757,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1008.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1008.txt,2,1,vest,0.521898,0.595922,0.262797,0.501531,168.19008,320.97983999999997,0.131800842207,53985.624967987205,0.5239895440162223,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1008.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1008.txt,3,2,person,0.51418,0.522836,0.413422,0.937234,264.59008,599.82976,0.38747315474800004,158709.00418478082,0.44110862388688415,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image101.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image101.txt,1,1,vest,0.499836,0.538758,0.130391,0.158484,83.45024000000001,101.42976000000002,0.020664887244000004,8464.337815142402,0.8227392039574972,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image101.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image101.txt,2,2,person,0.509852,0.56493,0.192641,0.372516,123.29024000000001,238.41024000000002,0.071761854756,29393.6557080576,0.5171348344769083,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image101.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image101.txt,3,2,person,0.336469,0.563742,0.166656,0.370141,106.65984,236.89024,0.061686218496,25266.6750959616,0.45025003984967893,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1011.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1011.txt,1,1,vest,0.545977,0.357195,0.206641,0.208641,132.25024,133.53024,0.043113784881,17659.406287257596,0.9904141563738671,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1011.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1011.txt,2,0,helmet,0.554,0.196711,0.122375,0.056172,78.32,35.95008,0.0068740484999999995,2815.6102655999994,2.1785765149896745,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1011.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1011.txt,3,2,person,0.549672,0.425219,0.354969,0.573594,227.18016,367.10016,0.20360808858600002,83397.87308482561,0.6188506155922132,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1012.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1012.txt,1,2,person,0.54968,0.452383,0.437234,0.662547,279.82976,424.03008,0.28968807499800003,118656.2355191808,0.6599290314498444,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1012.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1012.txt,2,1,vest,0.508867,0.373648,0.260797,0.234703,166.91008,150.20992,0.061209838291,25071.5497639936,1.111178808962817,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1012.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1012.txt,3,0,helmet,0.519891,0.203125,0.1625,0.074219,104.0,47.500159999999994,0.012060587499999999,4940.01664,2.1894663091661166,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1013.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1013.txt,1,0,helmet,0.512875,0.200117,0.140437,0.068203,89.87968000000001,43.64992,0.009578224711,3923.2408416256,2.059102972010029,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1013.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1013.txt,2,2,person,0.542102,0.466445,0.430734,0.742203,275.66976,475.00991999999997,0.319692067002,130945.87064401919,0.5803452694208997,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1013.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1013.txt,3,1,vest,0.510867,0.369633,0.256797,0.238734,164.35008,152.78976,0.061306174998,25111.0092791808,1.0756616150192264,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1015.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1015.txt,1,0,helmet,0.492812,0.181062,0.1645,0.08625,105.28,55.199999999999996,0.014188125,5811.455999999999,1.9072463768115944,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1015.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1015.txt,2,1,vest,0.473758,0.386695,0.278859,0.240734,178.46976,154.06976,0.067130842506,27496.7930904576,1.1583698189703158,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1015.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1015.txt,3,2,person,0.483656,0.506492,0.513,0.848266,328.32,542.89024,0.43516045799999997,178241.7235968,0.6047631285469417,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1017.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1017.txt,1,2,person,0.484852,0.469695,0.489391,0.753453,313.21024,482.20992,0.36873311712300005,151033.0847735808,0.649530893101494,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1017.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1017.txt,2,0,helmet,0.477273,0.17868,0.153891,0.084422,98.49024,54.03008,0.012991786001999999,5321.435546419199,1.8228779228163277,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1017.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1017.txt,3,1,vest,0.463312,0.378789,0.285719,0.268609,182.86016,171.90976,0.076746694871,31435.4462191616,1.06369853578994,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1018.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1018.txt,1,0,helmet,0.47175,0.181812,0.186156,0.090687,119.13983999999999,58.039680000000004,0.016881929171999998,6914.838188851199,2.052730821396672,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1018.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1018.txt,2,2,person,0.474023,0.48918,0.420141,0.796328,268.89024,509.64992,0.334570042248,137039.8893047808,0.5275979244733325,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1018.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1018.txt,3,1,vest,0.456711,0.385281,0.277266,0.268187,177.45024,171.63968,0.07435913674200001,30457.502409523204,1.033853244191553,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image102.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image102.txt,1,1,vest,0.525867,0.401508,0.151516,0.348703,96.97024,223.16992,0.052834083748,21640.840703180802,0.4345130383162749,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image102.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image102.txt,2,0,helmet,0.499891,0.112555,0.108219,0.099359,69.26016,63.58976,0.010752531621,4404.2369519616,1.0891715898912024,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image102.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image102.txt,3,2,person,0.553031,0.460063,0.387656,0.867969,248.09984,555.50016,0.336473390664,137819.5008159744,0.4466242457967969,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1020.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1020.txt,1,2,person,0.475109,0.468617,0.487219,0.837453,311.82016,535.96992,0.408023013207,167126.2262095872,0.5817866793718574,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1020.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1020.txt,2,0,helmet,0.46418,0.175328,0.192641,0.091125,123.29024000000001,58.32,0.017554411125,7190.2867968,2.1140301783264746,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1020.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1020.txt,3,1,vest,0.451406,0.406922,0.326844,0.294594,209.18016,188.54016000000001,0.09628628133600002,39438.86083522561,1.1094726980182896,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1021.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1021.txt,1,2,person,0.570453,0.413422,0.461031,0.809313,295.05984,517.9603199999999,0.373118381703,152829.2891455488,0.5696572277969093,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1021.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1021.txt,2,1,vest,0.590906,0.359203,0.263844,0.285719,168.86016,182.86016,0.07538524383600001,30877.7958752256,0.9234387632604063,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1021.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1021.txt,3,0,helmet,0.585492,0.113633,0.201078,0.093297,128.68992,59.710080000000005,0.018759974166,7684.085418393601,2.155246149393871,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1022.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1022.txt,1,2,person,0.560602,0.414609,0.536578,0.794375,343.40992,508.40000000000003,0.42624414875000005,174589.603328,0.6754719118804091,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1022.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1022.txt,2,0,helmet,0.565914,0.104977,0.201297,0.106266,128.83008,68.01024,0.021391027002,8761.7646600192,1.8942747445090622,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1022.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1022.txt,3,1,vest,0.586578,0.347406,0.29025,0.300656,185.76,192.41984,0.08726540399999999,35743.9094784,0.9653890160183067,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,1,1,vest,0.65368,0.559523,0.086359,0.080297,55.269760000000005,51.39008,0.0069343686229999995,2840.3173879807996,1.0754947258303549,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,2,1,vest,0.560609,0.570344,0.047406,0.080313,30.33984,51.400319999999994,0.0038073180779999993,1559.4774847487997,0.5902655858951851,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,3,1,vest,0.4395,0.540047,0.056281,0.075969,36.01984,48.62016,0.004275611289,1751.2903839744,0.7408416590977899,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,4,1,vest,0.401516,0.548703,0.040906,0.071219,26.17984,45.58016000000001,0.002913284414,1193.2812959743999,0.5743691992305423,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,5,1,vest,0.029219,0.569148,0.058219,0.160172,37.26016,102.51008,0.009325053668,3819.5419824128003,0.3634780111380266,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,6,1,vest,0.848375,0.533445,0.242437,0.365797,155.15968,234.11007999999998,0.08868272728900001,36324.445097574404,0.6627637733496995,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,7,1,vest,0.234852,0.498922,0.231391,0.370344,148.09024,237.02016,0.08569426850400001,35100.372379238404,0.624800185773227,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,8,0,helmet,0.448055,0.505406,0.060391,0.058219,38.65024,37.26016,0.003515903629,1440.1141264384,1.0373074082344251,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,9,0,helmet,0.411258,0.518508,0.043078,0.054109,27.56992,34.62976,0.002330907502,954.7397128192,0.7961337300633906,small_bbox_ratio
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,10,0,helmet,0.564937,0.51732,0.047406,0.043078,30.33984,27.56992,0.002042155668,836.4669616127999,1.1004689168485073,small_bbox_ratio
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,11,0,helmet,0.652492,0.506492,0.054109,0.056484,34.62976,36.14976,0.003056292756,1251.8575128576,0.9579526945683733,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,12,0,helmet,0.017258,0.437125,0.034516,0.099562,22.090239999999998,63.71968,0.003436481992,1407.5830239232,0.3466784516180872,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,13,0,helmet,0.693727,0.40368,0.145234,0.197172,92.94976,126.19008,0.028636078247999998,11729.3376503808,0.7365853163735216,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,14,0,helmet,0.396102,0.334414,0.117109,0.171203,74.94976,109.56992,0.020049412127,8212.2392072192,0.684035910585679,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,15,2,person,0.786906,0.569375,0.409094,0.541125,261.82016,346.32,0.22137099075,90673.55781120001,0.7560064680064681,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1024.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1024.txt,16,2,person,0.277055,0.528141,0.368172,0.571219,235.63008,365.58016000000003,0.210306841668,86141.6823472128,0.6445373840856133,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1025.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1025.txt,1,0,helmet,0.549781,0.117859,0.099344,0.123375,63.58016,78.96,0.012256566,5020.2894336,0.8052198581560284,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1025.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1025.txt,2,2,person,0.512984,0.500109,0.229219,0.943719,146.70016,603.98016,0.216318325461,88603.9861088256,0.24288903794455766,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1025.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1025.txt,3,1,vest,0.541125,0.418727,0.155625,0.357141,99.60000000000001,228.57023999999998,0.055580068125,22765.595904,0.4357522659117828,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1026.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1026.txt,1,1,vest,0.556281,0.311797,0.268187,0.294375,171.63968,188.4,0.078947548125,32336.915712,0.9110386411889597,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1026.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1026.txt,2,2,person,0.536797,0.41125,0.458656,0.779,293.53984,498.56,0.357293024,146347.2226304,0.588775353016688,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1026.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1026.txt,3,0,helmet,0.498914,0.0855,0.209734,0.088531,134.22976,56.65984,0.018567960754,7605.4367248384,2.3690458709378635,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1027.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1027.txt,1,0,helmet,0.504328,0.089828,0.185938,0.084625,119.00031999999999,54.160000000000004,0.01573500325,6445.057331200001,2.19719940915805,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1027.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1027.txt,2,1,vest,0.562773,0.320242,0.268609,0.281391,171.90976,180.09024,0.07558415511899999,30959.269936742392,0.9545756616238614,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1027.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1027.txt,3,2,person,0.526945,0.452383,0.461047,0.878578,295.07007999999996,562.2899199999999,0.40506575116599997,165914.9316775936,0.5247650180177514,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1028.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1028.txt,1,2,person,0.536797,0.445883,0.493719,0.822734,315.98016,526.54976,0.406199407746,166379.27741276158,0.600095535130431,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1028.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1028.txt,2,0,helmet,0.520453,0.09957,0.209969,0.104109,134.38016,66.62975999999999,0.021859662620999996,8953.7178095616,2.0168189109491013,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1028.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1028.txt,3,1,vest,0.555195,0.339828,0.274672,0.298906,175.79008000000002,191.29984000000002,0.082101108832,33628.6141775872,0.9189243441081812,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1029.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1029.txt,1,2,person,0.564937,0.455523,0.55,0.863641,352.0,552.73024,0.47500255,194561.04448,0.6368386864449465,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1029.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1029.txt,2,0,helmet,0.559523,0.103898,0.222734,0.099359,142.54976,63.58976,0.022130627506,9064.7050264576,2.2417093569782303,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1029.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1029.txt,3,1,vest,0.561578,0.356063,0.305188,0.309312,195.32032,197.95968,0.094398310656,38665.5480446976,0.9866671839437203,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image103.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image103.txt,1,2,person,0.445891,0.467531,0.259531,0.579875,166.09984,371.12,0.150495538625,61642.9726208,0.4475636990730761,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image103.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image103.txt,2,1,vest,0.432797,0.351727,0.173156,0.209734,110.81984,134.22976,0.036316700504,14875.3205264384,0.8255981385946007,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1030.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1030.txt,1,1,vest,0.615797,0.352703,0.318406,0.333344,203.77984,213.34015999999997,0.106138729664,43474.423670374395,0.955187434002112,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1030.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1030.txt,2,2,person,0.601734,0.450219,0.476406,0.861688,304.89984,551.48032,0.410513333328,168146.2613311488,0.5528752866466748,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1030.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1030.txt,3,0,helmet,0.586586,0.090906,0.233984,0.121438,149.74976,77.72032,0.028414548992,11638.5992671232,1.926777450221512,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1031.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1031.txt,1,0,helmet,0.596211,0.084305,0.214297,0.108234,137.15008,69.26975999999999,0.023194221497999996,9500.353125580797,1.979941607997487,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1031.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1031.txt,2,1,vest,0.621102,0.347398,0.337672,0.322734,216.11008,206.54976000000002,0.10897823524800002,44637.485157580806,1.0462857957327087,
